word,sent
inattent,-0.631232361
mice,-0.631067961
dumpster,-0.630573248
ordeal,-0.630514706
defend,-0.630434783
trash,-0.630220197
negoti,-0.629742636
botch,-0.62962963
chime,-0.629215154
uneduc,-0.628787879
crook,-0.628272251
schlechter,-0.627906977
vulgar,-0.627906977
untoast,-0.627737226
coagul,-0.626984127
begrudgingli,-0.626712329
gag,-0.626206897
oversight,-0.626071537
tuff,-0.625899281
refir,-0.625668449
snarki,-0.625592417
subpar,-0.625273923
slimi,-0.625085675
unenjoy,-0.625
sick,-0.62441761
passiv,-0.624
undercook,-0.623973064
unforgiv,-0.623728814
sewer,-0.62371134
screw,-0.623065147
argument,-0.623036649
contact,-0.6225918
impos,-0.622385997
sicken,-0.622340426
nuke,-0.621621622
question,-0.621326169
notifi,-0.620853081
dception,-0.620689655
polici,-0.620453839
insipid,-0.620253165
microscop,-0.620111732
paus,-0.619925947
kept,-0.619057593
embarrass,-0.618544024
respond,-0.61799569
dupe,-0.617977528
astonish,-0.617970029
unsaf,-0.617924528
displeas,-0.617886179
lauwarm,-0.617647059
debt,-0.617636696
asshol,-0.617563739
uninterest,-0.617253949
robberi,-0.6171875
bogu,-0.6171875
disgruntl,-0.617021277
disabl,-0.617021277
choke,-0.616987179
grime,-0.616666667
subject,-0.616475644
idiot,-0.616166505
bulli,-0.615740741
disinterest,-0.615708275
queasi,-0.615384615
broom,-0.614906832
sympathet,-0.614213198
belliger,-0.614130435
startl,-0.614127296
attitud,-0.613852048
curdl,-0.613793103
foul,-0.613784135
anythingth,-0.613581302
nope,-0.613224406
fking,-0.612244898
harm,-0.612071391
rubbish,-0.611702128
hast,-0.611227553
particl,-0.611111111
edibl,-0.61096898
abid,-0.610947184
chastis,-0.610619469
expir,-0.610469069
budg,-0.610465116
unpleas,-0.610243371
lifeless,-0.609907121
eta,-0.60952381
remors,-0.609243697
perpetu,-0.608832656
ponytail,-0.608391608
agit,-0.608208955
verbal,-0.607944732
snippi,-0.607929515
cardboard,-0.607699805
creditdebit,-0.607142926
silent,-0.606618493
burden,-0.605670103
mediocr,-0.605582107
dirti,-0.605453833
unimpress,-0.605366726
plagu,-0.6046875
sneer,-0.604477612
mush,-0.604408353
degrad,-0.604347826
incap,-0.603773585
bleach,-0.603773585
oblivi,-0.603686636
mold,-0.603428571
yell,-0.603426834
useless,-0.603107345
anem,-0.602649007
threw,-0.602498163
untouch,-0.602368866
unapp,-0.602331606
methink,-0.602150538
respons,-0.602090423
exasper,-0.60130719
semblanc,-0.601190476
drain,-0.601027397
amex,-0.60087865
intox,-0.600709314
unattent,-0.600550964
lowqual,-0.6
tardi,-0.599970628
incid,-0.599406528
yap,-0.599173319
disgustingli,-0.599156118
inappropri,-0.599137931
declin,-0.598924088
overbook,-0.598901099
sysco,-0.598662207
urgent,-0.598540146
detest,-0.597978772
afterthought,-0.597449838
thimbl,-0.597222222
debacl,-0.596707819
piti,-0.596646943
disregard,-0.596546311
discret,-0.595939927
spit,-0.595782702
carelessli,-0.595588235
compens,-0.595545657
gratuiti,-0.595454545
alleg,-0.595238095
whatsoev,-0.595148616
bash,-0.594859578
smug,-0.594827586
precook,-0.594771242
distast,-0.594684385
dismal,-0.594320487
permiss,-0.594202899
spec,-0.593940425
waitand,-0.593939394
bouncer,-0.59392988
defrost,-0.59375
crappi,-0.593533487
transact,-0.593385214
antwort,-0.593220339
pain,-0.593200089
reassur,-0.592813646
drill,-0.592796514
downward,-0.592592593
pest,-0.592356688
mauvai,-0.592356688
ugh,-0.5923369
aris,-0.592324829
flabbergast,-0.592178771
nonchal,-0.592156863
excruci,-0.592
eek,-0.591666667
recov,-0.591568584
inexperienc,-0.591549296
bombard,-0.591362048
contract,-0.59125964
slept,-0.59109671
agreement,-0.590640712
rubberi,-0.590355577
appli,-0.590205472
accident,-0.589855577
giggl,-0.589800091
paperwork,-0.58974359
asham,-0.589527027
dept,-0.589506173
readi,-0.589481522
customari,-0.589481476
poorer,-0.589371981
snot,-0.589189189
unattend,-0.589171975
inexperi,-0.588449154
traumat,-0.588235294
unoccupi,-0.588235294
point,-0.587846261
leatheri,-0.587412587
incredul,-0.587301587
motiv,-0.587190495
bin,-0.587142196
regard,-0.587116181
soapi,-0.586956522
remedi,-0.586670504
overpricedth,-0.586538462
egregi,-0.586419753
deterior,-0.586111111
rung,-0.586102719
civil,-0.585899455
unidentifi,-0.585657371
glue,-0.584474886
clue,-0.584225901
sanitari,-0.58390411
dishwash,-0.583892617
hair,-0.583869506
principl,-0.583682008
crimin,-0.583586626
injur,-0.583333333
bye,-0.583261432
peski,-0.583052456
gruff,-0.583044182
panick,-0.582960986
rest,-0.582860068
suck,-0.582614506
mitig,-0.582466548
whiff,-0.582321037
indigest,-0.582089552
gender,-0.58196727
earshot,-0.581818182
btch,-0.581818182
badli,-0.581708449
defici,-0.581499491
shard,-0.581300813
timid,-0.581258118
punish,-0.581213307
loath,-0.581039233
intercom,-0.580838323
oop,-0.580662061
slipperi,-0.580626905
interven,-0.580357143
nag,-0.580351831
prepaid,-0.580310881
smudg,-0.580152672
fact,-0.580130228
perceiv,-0.580100805
fend,-0.580098545
object,-0.580003422
clumpi,-0.579925651
intrud,-0.579767394
cashonli,-0.579149676
longth,-0.578923837
disorgan,-0.578823529
limp,-0.578367551
elitist,-0.578292887
bleh,-0.578014184
gut,-0.577895094
manag,-0.577740551
offend,-0.577732519
mcnugget,-0.577639752
stif,-0.577464789
snooti,-0.577248887
flag,-0.577240168
hastili,-0.577092511
sorri,-0.576904111
beeper,-0.576540799
hazard,-0.576519916
dick,-0.576406683
talk,-0.576364343
hostag,-0.576
kill,-0.575979338
devoid,-0.575851393
subsid,-0.575771617
weirdli,-0.575591098
waft,-0.575565418
wilt,-0.575363045
unwant,-0.57518797
muddi,-0.57513616
abus,-0.574955908
unenthusiast,-0.574358974
hormel,-0.574257426
knowingli,-0.574257426
twostar,-0.574193548
inspect,-0.574089069
dump,-0.574049455
unpleasantli,-0.573964497
shouldv,-0.573964497
mishap,-0.573859114
defeat,-0.573842413
grizzl,-0.573770492
nonexist,-0.573590814
themand,-0.573511507
told,-0.573284126
snobbish,-0.573226401
slob,-0.57320615
rag,-0.573154362
enthus,-0.573119266
slimey,-0.572727273
silverwar,-0.57269038
swamp,-0.572656183
waiv,-0.572402044
fiasco,-0.572207084
cocki,-0.572164948
indiffer,-0.572131148
prevent,-0.572121799
bug,-0.57199341
luke,-0.57189811
frustrat,-0.571757211
justeat,-0.571428571
prison,-0.570743405
halfhour,-0.5706516
straighten,-0.570397112
unexcept,-0.5703125
zh,-0.5703125
prone,-0.570230157
subscrib,-0.569901691
arrog,-0.569735007
unbeknownst,-0.5694774
coldi,-0.569444444
unruli,-0.569354844
irrit,-0.569340695
compass,-0.569178519
rooki,-0.569169597
margin,-0.5687545
fuck,-0.568680574
nada,-0.568627451
eman,-0.568469168
sleep,-0.568405211
grisli,-0.568181818
coldth,-0.568181818
printer,-0.568047337
act,-0.567837466
headlight,-0.567307692
catastroph,-0.567307692
wenigsten,-0.567164179
unrip,-0.56684492
forbid,-0.566757493
mccain,-0.566666667
gloppi,-0.566666667
reader,-0.566504715
dumbass,-0.566371681
handler,-0.566371681
safeti,-0.566150179
reevalu,-0.566115702
percept,-0.565926694
fear,-0.56588939
ruin,-0.565726391
breath,-0.565717875
urgenc,-0.565517241
meint,-0.565517241
sent,-0.565448741
deaf,-0.565371025
agon,-0.565306226
bland,-0.565253533
nonsens,-0.564907094
travesti,-0.564853556
prefrozen,-0.564814815
toxic,-0.564417178
loudli,-0.564375
chuckl,-0.56428008
smart,-0.564266893
mintu,-0.564102564
ahol,-0.563862928
oblig,-0.563757107
aros,-0.563681174
syndrom,-0.563659096
explan,-0.563467492
glove,-0.563274336
freezer,-0.56323185
hideou,-0.563218391
hurt,-0.56315669
crumpl,-0.563106796
ambul,-0.563106796
flirt,-0.56300578
amateurish,-0.562962963
swarm,-0.562938438
halfass,-0.562913907
unauthent,-0.5625
goop,-0.5625
slave,-0.562451881
retard,-0.56227758
swat,-0.562162162
tmi,-0.562077546
macdonald,-0.562043796
publicli,-0.561904762
check,-0.561896931
bicker,-0.561538462
enquir,-0.561403509
unev,-0.560869565
blob,-0.560859189
anxious,-0.560785089
unnecessari,-0.560531409
disappointingth,-0.560209424
whopper,-0.56019656
quietli,-0.559639942
anxieti,-0.55956902
odor,-0.559507524
just,-0.559417494
fragment,-0.559322034
ewig,-0.559322034
ineffici,-0.559118236
doublecheck,-0.558844433
gluey,-0.558823529
teeni,-0.558785464
breakdown,-0.558750041
eagerli,-0.558647586
ventil,-0.558636554
berteuert,-0.558333333
fck,-0.558333333
misl,-0.558139535
patienc,-0.558120174
overpaid,-0.557971014
relay,-0.557755776
sarcasm,-0.557632399
biggi,-0.557442693
surli,-0.557180851
inabl,-0.55704698
gristl,-0.55697446
uninspir,-0.556872038
junk,-0.556813555
mistak,-0.556679194
utter,-0.556623932
growl,-0.55652418
hyster,-0.556398092
snotti,-0.556282723
face,-0.556266158
culprit,-0.55625
overhaul,-0.556097561
let,-0.556002783
snobbi,-0.555958142
partli,-0.555742977
inadvert,-0.555185729
uninvit,-0.555183946
so,-0.555053575
hate,-0.554743569
mauvais,-0.554621849
stellt,-0.554498849
reject,-0.554245283
inadequ,-0.554054054
unders,-0.553846154
ach,-0.553677092
trial,-0.553596513
repeatedli,-0.553559548
shame,-0.553540286
gristli,-0.553505535
fnf,-0.553387261
disdain,-0.553278689
cock,-0.553102999
burnt,-0.553082609
becaus,-0.553002413
measli,-0.552884615
forgav,-0.552763063
incomplet,-0.552699229
precut,-0.552518961
polic,-0.552380952
bitchi,-0.55216285
impair,-0.552140081
paid,-0.551919028
like,-0.551891244
sanit,-0.551843318
deliv,-0.551832311
saw,-0.551760388
openli,-0.551724138
jail,-0.551724138
needless,-0.551671522
baffl,-0.551532033
mad,-0.551519009
eww,-0.551495017
disastr,-0.551440329
fk,-0.551440329
nobodi,-0.551411463
explicitli,-0.551219512
weird,-0.551215858
buri,-0.550838959
despair,-0.550693954
defens,-0.55046729
charg,-0.550336927
slur,-0.55033557
outright,-0.550239234
reluctantli,-0.550206327
diss,-0.550150704
protect,-0.549974997
redeem,-0.549863595
embarass,-0.549618321
faulti,-0.54954955
jot,-0.549222384
felt,-0.549037791
miniscul,-0.548895899
overdon,-0.548638336
scurri,-0.548042705
talli,-0.547919323
blandth,-0.547325103
cope,-0.547025406
campbel,-0.546875
cleanup,-0.546812532
sand,-0.546655511
hell,-0.546655493
pissi,-0.546583851
seem,-0.546579242
shoddi,-0.546341463
lowest,-0.546191248
gnaw,-0.545887541
longi,-0.545703701
rambl,-0.545489075
needi,-0.545382398
mastercard,-0.545344007
disconnect,-0.545248869
clump,-0.545243619
revenu,-0.54517134
itti,-0.545020528
request,-0.544980261
despit,-0.544939094
kalt,-0.544827586
chlorin,-0.544827586
technic,-0.544692588
swoop,-0.544677985
unreli,-0.544642857
midmeal,-0.544414108
doesnt,-0.544350592
stress,-0.544328933
gewartet,-0.543859649
unprepar,-0.543147208
magnifi,-0.543103448
death,-0.543023378
kraft,-0.54296875
stolen,-0.542910448
schlecht,-0.542458809
underag,-0.54245283
machen,-0.542445426
rins,-0.542199488
lectur,-0.54214123
blank,-0.541855204
unfulfil,-0.541666667
money,-0.541558181
clerk,-0.541538462
usag,-0.54152933
phone,-0.541112124
haphazardli,-0.540983607
apologis,-0.540880503
itthen,-0.540322581
margarin,-0.54028436
logist,-0.540207224
jackass,-0.54
caus,-0.539998028
minuscul,-0.539951574
slack,-0.539721439
unimagin,-0.539622642
scrub,-0.539593657
excruciatingli,-0.539568345
blame,-0.539561487
nehmen,-0.539560259
debitcredit,-0.539316855
overr,-0.539209332
influx,-0.539105323
folder,-0.5390625
min,-0.538506836
justif,-0.538461538
brownish,-0.538461538
accost,-0.538461538
cornstarch,-0.538461538
absurd,-0.538373425
offens,-0.538255034
flood,-0.53766055
comp,-0.537635989
grunt,-0.537634409
unevenli,-0.537267081
waitlist,-0.537035512
carcass,-0.537013433
overpr,-0.53685549
notif,-0.536842105
attempt,-0.536794067
hangri,-0.536775779
tire,-0.536658211
data,-0.53640534
matter,-0.536338849
glare,-0.536231884
bastard,-0.536074583
ogl,-0.536036332
delet,-0.535962877
mess,-0.535907426
therefor,-0.535718999
zahlen,-0.535714286
reset,-0.535523835
unbedingt,-0.535293895
driver,-0.53526897
solv,-0.535185212
meltdown,-0.535135294
besser,-0.534929294
hire,-0.53473816
puddl,-0.534700315
hey,-0.534405844
undesir,-0.534391534
loooong,-0.534317939
cloudi,-0.534300346
reek,-0.534161491
thinnest,-0.534031414
longest,-0.533934099
bruis,-0.533783784
nein,-0.533742331
bent,-0.533642936
himi,-0.533456184
shampoo,-0.533403906
tarnish,-0.533333333
blandi,-0.533333333
neglig,-0.533333333
emot,-0.53329244
calcul,-0.533232628
desir,-0.53318662
wha,-0.533050459
interrupt,-0.533008658
fixat,-0.532920681
toilet,-0.532786885
woefulli,-0.532608696
wack,-0.532608696
throng,-0.532553794
rectifi,-0.532467532
sneez,-0.532338308
accumul,-0.532079362
infact,-0.531983025
spoke,-0.531946073
compel,-0.531940225
looooong,-0.531921946
saucer,-0.531748919
batch,-0.531659921
zeit,-0.531576088
shut,-0.531280708
lineth,-0.531188755
biggest,-0.531188689
fifteen,-0.53113325
briefli,-0.530899421
process,-0.530793837
react,-0.530674847
smush,-0.530624815
gave,-0.530606798
standoffish,-0.530577543
stink,-0.53037037
pompou,-0.53030303
wound,-0.530246856
debri,-0.530075188
dishearten,-0.529953917
collaps,-0.529643539
trooper,-0.529559791
somehow,-0.529559106
mssen,-0.529471139
that,-0.529386445
bother,-0.529379395
flinch,-0.52936412
sluggish,-0.529298714
stupid,-0.529292929
minutesth,-0.529241787
came,-0.529179615
contain,-0.529168218
sonst,-0.529166403
preciou,-0.5288904
stinki,-0.528857882
itno,-0.528846154
relat,-0.528824758
chemic,-0.528809219
wiederkommen,-0.528660375
oddest,-0.528628723
blurt,-0.528455285
buse,-0.52840621
urin,-0.528384279
send,-0.528372192
taken,-0.528311571
doch,-0.528299661
nose,-0.528110838
pois,-0.527795595
pick,-0.527577836
observ,-0.52744664
gleich,-0.527440473
parchment,-0.527287657
crash,-0.527262916
requir,-0.527171434
minut,-0.527009352
overpric,-0.52688172
pricelin,-0.526785714
okay,-0.526591358
spotti,-0.526571926
wage,-0.526427061
text,-0.526371791
preach,-0.526247688
mcmuffin,-0.526132404
lest,-0.525916697
disrupt,-0.525659784
maam,-0.525641026
meant,-0.525283312
disappear,-0.525265669
vein,-0.525227234
crucial,-0.525175872
toss,-0.525142931
kurzer,-0.52506559
sludg,-0.525
wipe,-0.524981357
mop,-0.524886878
asst,-0.524752475
afloat,-0.524691358
necessari,-0.524685425
velveeta,-0.524528302
konnten,-0.524514836
thatbut,-0.524226885
receptionist,-0.524173028
limitword,-0.524137931
rape,-0.523809524
lackadais,-0.523809524
intermitt,-0.523665884
chequ,-0.523622047
blah,-0.523486025
meinen,-0.523474815
unopen,-0.523364486
notwithstand,-0.523132636
yeah,-0.523116454
buyer,-0.522813688
bare,-0.522701936
solut,-0.522682446
halfempti,-0.522522523
damit,-0.522452903
mehi,-0.52238806
without,-0.522351081
verifi,-0.522258415
unavail,-0.521484375
trashi,-0.521472393
stain,-0.521440823
lumpi,-0.521390374
know,-0.521267943
juggl,-0.521237926
procedur,-0.521197007
gewnscht,-0.521186472
notic,-0.521166592
thug,-0.521126761
drunkard,-0.521116446
purpos,-0.520963039
splatter,-0.520912548
oddli,-0.520892756
foto,-0.52081124
allegedli,-0.520737327
momentarili,-0.520703558
reheat,-0.520589731
weder,-0.520547945
almost,-0.520382145
inaccur,-0.520325203
unserem,-0.520254539
weiter,-0.520209247
long,-0.520148448
jetzt,-0.52014602
nix,-0.520096087
forgiven,-0.520058694
throat,-0.520016754
messag,-0.519755747
transpar,-0.519608275
wasp,-0.519607843
doorman,-0.519480519
either,-0.519467805
apologet,-0.519433564
cancer,-0.519412941
daran,-0.519390328
sollen,-0.519379845
lotion,-0.519342434
sawdust,-0.519230769
deposit,-0.519138756
unmemor,-0.519021739
confirm,-0.518894009
redirect,-0.518867925
zumindest,-0.51867081
tracker,-0.518518519
hungryth,-0.518304288
percentag,-0.518241458
mcdonald,-0.518237245
poop,-0.518181818
nicebut,-0.518181818
muck,-0.518181818
satisfactori,-0.518141121
supervis,-0.518115942
prick,-0.517948718
wahrscheinlich,-0.517907007
prayer,-0.517903238
geben,-0.517625396
seatedth,-0.51748273
kaum,-0.517410807
crabbi,-0.51737039
klar,-0.517108953
ocd,-0.516977059
douch,-0.516975309
schauen,-0.516965077
bleiben,-0.516723006
switch,-0.516602628
compound,-0.516552015
wateri,-0.516468591
beforehand,-0.516361101
ridden,-0.516307154
endlessli,-0.516170862
kommen,-0.51614471
buis,-0.516129032
worden,-0.516060124
whelm,-0.515976315
plead,-0.515957447
shit,-0.51591677
doubli,-0.515911537
redo,-0.515822785
disciplin,-0.515717684
loyalti,-0.515584909
stodgi,-0.515531294
dunno,-0.515515242
tension,-0.515384615
frei,-0.51524141
rush,-0.515179917
dumb,-0.515170279
lefti,-0.515151515
par,-0.514979802
dime,-0.51497006
oversp,-0.514851485
uhhhh,-0.514851485
sink,-0.514682626
wth,-0.514518002
counter,-0.514487455
allevi,-0.514388042
elder,-0.514369044
impact,-0.514190649
sehen,-0.51410575
foolishli,-0.514018692
lag,-0.513731997
dammit,-0.513586755
hungri,-0.513460061
knew,-0.513427453
hi,-0.513419759
unclear,-0.513353116
overcook,-0.51314167
aggress,-0.513111888
murder,-0.512991519
overflow,-0.512961037
ruhe,-0.512885142
convo,-0.512771693
itthat,-0.512626188
crap,-0.512560386
truth,-0.51248381
waitw,-0.51230909
nightmar,-0.512273212
sidenot,-0.512151053
brought,-0.51213176
restroom,-0.512070769
reus,-0.511961722
mislead,-0.511894996
recur,-0.511731971
deliveri,-0.511655773
within,-0.511604747
yucki,-0.511589404
bill,-0.511556435
preorder,-0.51155638
forti,-0.511551155
whatev,-0.511541315
dilemma,-0.511373639
afterward,-0.511200976
pickup,-0.511116189
worm,-0.511111111
blade,-0.511031343
thrown,-0.510952381
case,-0.510945398
bend,-0.510739038
etiquett,-0.510638298
curt,-0.510638298
sad,-0.510576096
ubereat,-0.510541635
vapor,-0.510500422
nitti,-0.510483716
membership,-0.510399597
swipe,-0.510152284
knowth,-0.510137453
unsettl,-0.51010101
smelli,-0.510075567
ya,-0.509919192
mgmt,-0.50990099
lacklust,-0.509869646
doin,-0.509850139
gloopi,-0.509803922
interac,-0.50978953
inconveni,-0.50974623
kunden,-0.509677419
grubbi,-0.509673682
bring,-0.509662693
transfer,-0.509589041
yank,-0.50955414
spray,-0.509501188
jaw,-0.509480235
dictat,-0.50912765
ensu,-0.50907275
constant,-0.509009259
sneaki,-0.508963272
lassen,-0.508864659
averag,-0.50885503
packag,-0.508842743
musti,-0.508823529
onetim,-0.50879912
scath,-0.50877193
guidelin,-0.50877193
major,-0.508701834
gewohnt,-0.508661847
cranki,-0.508563117
selfish,-0.508450911
grimi,-0.508426966
juri,-0.508422483
taker,-0.508361204
pleasei,-0.508354712
compress,-0.508291272
congreg,-0.508230941
up,-0.50814218
gossip,-0.508137432
pertain,-0.508135386
invest,-0.50810508
pltze,-0.508099406
grip,-0.508072351
nevermind,-0.508064516
seeth,-0.507918514
caucasian,-0.507874016
offput,-0.507804922
kind,-0.507750864
housekeep,-0.507658643
ihm,-0.507610648
put,-0.507489406
genug,-0.507469562
hadnt,-0.507462687
due,-0.507393155
bog,-0.507388453
femal,-0.507378259
ongo,-0.507269508
examin,-0.507246377
despis,-0.507203824
reservierung,-0.507192245
uneven,-0.507000366
grumbl,-0.506979597
hurri,-0.506918398
assault,-0.506887052
tore,-0.506863507
um,-0.506793311
benefici,-0.506680034
anyway,-0.506678953
wren,-0.506645914
valid,-0.506548554
soggi,-0.506381568
payment,-0.50626703
mundan,-0.506254364
insuffici,-0.50625
scrap,-0.506234414
bewild,-0.50617284
exhaust,-0.506163495
kicker,-0.505988024
instanc,-0.505956599
passabl,-0.505952381
begleitung,-0.505850251
ironi,-0.50582009
speech,-0.505791506
glitch,-0.505707599
